estado	variavel	valor_7d	valor_3d	valor_1d	valor_atual
Ceará	Suspeitos	259	0	0	0
Minas Gerais	Descartados	104	0	0	0
Paraná	Confirmados	23	60	81	102
Rio de Janeiro	Mortes	2	4	6	9
Rio Grande do Sul	Suspeitos	208	132	0	0
Santa Catarina	Descartados	73	0	0	0
São Paulo	Confirmados	286	745	862	1052
Distrito Federal	Mortes	0	0	0	0
Bahia	Suspeitos	525	0	0	0
Espírito Santo	Descartados	148	255	0	0
Paraíba	Confirmados	1	2	3	5
Pernambuco	Mortes	0	0	1	3
Alagoas	Suspeitos	38	120	0	0
Goiás	Descartados	98	170	0	0
Mato Grosso do Sul	Confirmados	9	21	24	25
Rio Grande do Norte	Mortes	0	0	0	0
Amazonas	Suspeitos	7	20	0	0
Maranhão	Descartados	22	87	0	0
Mato Grosso	Confirmados	0	6	8	11
Pará	Mortes	0	0	0	0
Piauí	Suspeitos	65	148	0	0
Rondônia	Descartados	8	0	0	0
Sergipe	Confirmados	6	10	16	16
Acre	Mortes	0	0	0	0
Tocantins	Suspeitos	38	0	0	0
Amapá	Descartados	0	70	0	0
Roraima	Confirmados	0	2	8	8
Ceará	Mortes	0	0	0	3
Minas Gerais	Suspeitos	2140	7766	0	0
Paraná	Descartados	122	159	0	0
Rio de Janeiro	Confirmados	66	233	370	421
Rio Grande do Sul	Mortes	0	0	1	1
Santa Catarina	Suspeitos	273	410	0	0
São Paulo	Descartados	596	0	0	0
Distrito Federal	Confirmados	84	135	160	200
Bahia	Mortes	0	0	0	0
Espírito Santo	Suspeitos	488	739	0	0
Paraíba	Descartados	16	25	0	0
Pernambuco	Confirmados	28	42	46	48
Alagoas	Mortes	0	0	0	0
Goiás	Suspeitos	303	765	0	0
Mato Grosso do Sul	Descartados	123	198	0	0
Rio Grande do Norte	Confirmados	1	13	14	19
Amazonas	Mortes	0	0	1	1
Maranhão	Suspeitos	205	280	0	0
Mato Grosso	Descartados	11	37	0	0
Pará	Confirmados	0	5	7	13
Piauí	Mortes	0	0	0	0
Rondônia	Suspeitos	84	0	0	0
Sergipe	Descartados	45	0	0	0
Acre	Confirmados	4	17	23	24
Tocantins	Mortes	0	0	0	0
Amapá	Suspeitos	64	77	0	0
Roraima	Descartados	9	22	0	0
Ceará	Confirmados	24	164	200	235
Minas Gerais	Mortes	0	0	0	0
Paraná	Suspeitos	146	1519	0	0
Rio de Janeiro	Descartados	148	0	0	0
Rio Grande do Sul	Confirmados	31	96	123	168
Santa Catarina	Mortes	0	0	0	1
São Paulo	Suspeitos	7669	0	0	0
Distrito Federal	Descartados	134	2017	0	0
Bahia	Confirmados	30	63	84	104
Espírito Santo	Mortes	0	0	0	0
Paraíba	Suspeitos	138	61	0	0
Pernambuco	Descartados	166	0	0	0
Alagoas	Confirmados	4	8	11	11
Goiás	Mortes	0	0	0	1
Mato Grosso do Sul	Suspeitos	39	70	0	0
Rio Grande do Norte	Descartados	41	44	0	0
Amazonas	Confirmados	3	32	54	67
Maranhão	Mortes	0	0	0	0
Mato Grosso	Suspeitos	59	210	0	0
Pará	Descartados	32	101	0	0
Piauí	Confirmados	3	6	8	9
Rondônia	Mortes	0	0	0	0
Sergipe	Suspeitos	9	0	0	0
Acre	Descartados	0	180	0	0
Tocantins	Confirmados	1	5	7	7
Amapá	Mortes	0	0	0	0
Roraima	Suspeitos	21	7	0	0
Ceará	Descartados	118	0	0	0
Minas Gerais	Confirmados	29	128	133	153
Paraná	Mortes	0	0	0	0
Rio de Janeiro	Suspeitos	1254	0	0	0
Rio Grande do Sul	Descartados	370	655	0	0
Santa Catarina	Confirmados	21	86	109	122
São Paulo	Mortes	5	30	48	58
Distrito Federal	Suspeitos	235	3631	0	0
Bahia	Descartados	443	725	0	0
Espírito Santo	Confirmados	13	29	39	39
Paraíba	Mortes	0	0	0	0
Pernambuco	Suspeitos	311	0	0	0
Alagoas	Descartados	29	64	0	0
Goiás	Confirmados	15	23	29	39
Mato Grosso do Sul	Mortes	0	0	0	0
Rio Grande do Norte	Suspeitos	131	282	0	0
Amazonas	Descartados	42	0	0	0
Maranhão	Confirmados	0	2	8	10
Mato Grosso	Mortes	0	0	0	0
Pará	Suspeitos	74	207	0	0
Piauí	Descartados	2	115	0	0
Rondônia	Confirmados	0	3	5	5
Sergipe	Mortes	0	0	0	0
Acre	Suspeitos	103	199	0	0
Tocantins	Descartados	0	0	0	0
Amapá	Confirmados	0	1	1	2
Roraima	Mortes	0	0	0	0
